Категория 1;Категория 2;Категория 3;Категория 4;Товар;Бренд;Артикул завод;Корпус;;Диаметр индуктивного датчика;;;;;Рабочий диапазон мм.;;;;;Тип монтажа;;Тип выходного сигнала;;;;Функция контакта;;;Присоединение;;Питание индуктивных датчиков;;Количество фаз;;Ток;;;;;;;;;;;;;;;;;;;;;;;;;;;;Вход;;;;Выход;;;;;;;Со встроенным радиатором;Реверсивные;Для коммутации постоянного тока;Аксессуары;;;Диамер разъёма;;Длина кабеля;;;;;;;Типа разъёма;;Диаметры и тип переходника;;;Количество pin;;;;Конфигурация;;Вид монтажа;;Цена;Наличие;Доставка;Фото;Datasheet;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные блоки питания Блоки питания на дин-рейку Импульсные блоки питания;;Блок питания 6EP1 437-2BA10;Siemens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные блоки питания Блоки питания на дин-рейку Импульсные блоки питания;;Блок питания 6EP1 457-3BA00;Siemens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные блоки питания Блоки питания на дин-рейку Импульсные блоки питания;;Блок питания =24 B/12.0 A 6EP1 234-1AA00;Siemens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные блоки питания Блоки питания на дин-рейку Импульсные блоки питания;;Блок питания =24 B/4.0 A 6EP1 232-1AA10;Siemens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные блоки питания Блоки питания на дин-рейку Импульсные блоки питания;;Блок питания 6EP1 311-1SH12;Siemens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные блоки питания Блоки питания на дин-рейку Импульсные блоки питания;;Блок питания 6EP1 322-1SH02;Siemens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные блоки питания Блоки питания на дин-рейку Импульсные блоки питания;;Блок питания 6EP1 331-1SH02;Siemens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные блоки питания Блоки питания на дин-рейку Импульсные блоки питания;;Блок питания 6EP1 331-2BA10;Siemens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные блоки питания Блоки питания на дин-рейку Импульсные блоки питания;;Блок питания 6EP1 332-1SH12;Siemens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные блоки питания Блоки питания на дин-рейку Импульсные блоки питания;;Блок питания 6EP1 332-1SH22;Siemens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
